epoch,accuracy,loss,mean_absolute_error,top-5-accuracy,val_accuracy,val_loss,val_mean_absolute_error,val_top-5-accuracy
0,0.24390244483947754,3.8115170001983643,0.37194764614105225,1.0,0.4054054021835327,3.8379065990448,0.36353033781051636,1.0
1,0.3018292784690857,3.7726101875305176,0.36582207679748535,1.0,0.1621621549129486,3.787217855453491,0.3734797537326813,1.0
2,0.375,3.7064197063446045,0.3541656732559204,1.0,0.2702702581882477,3.707115411758423,0.35554739832878113,1.0
3,0.4390243887901306,3.6165683269500732,0.3376723527908325,1.0,0.45945945382118225,3.5830910205841064,0.3330283761024475,1.0
0,0.24390244483947754,3.8113138675689697,0.3719775378704071,1.0,0.37837839126586914,3.8404197692871094,0.36503973603248596,1.0
1,0.31707316637039185,3.7612204551696777,0.3645990192890167,1.0,0.1621621549129486,3.834162473678589,0.3773839771747589,1.0
2,0.4085365831851959,3.6851065158843994,0.35080960392951965,1.0,0.3513513505458832,3.686119794845581,0.3552913963794708,1.0
3,0.4481707215309143,3.6211440563201904,0.3373246192932129,1.0,0.45945945382118225,3.641883611679077,0.3260875344276428,1.0
4,0.4695121943950653,3.602916717529297,0.3289791941642761,1.0,0.4864864945411682,3.554821491241455,0.3138175904750824,1.0
5,0.5030487775802612,3.5183212757110596,0.3109078109264374,1.0,0.4864864945411682,3.4981672763824463,0.3055529296398163,1.0
6,0.5,3.552795886993408,0.3110317587852478,1.0,0.29729729890823364,3.8569557666778564,0.3483615219593048,1.0
7,0.5518292784690857,3.517805576324463,0.3066857159137726,1.0,0.5675675868988037,3.547088623046875,0.3079560399055481,1.0
8,0.5701219439506531,3.4737696647644043,0.29569339752197266,1.0,0.45945945382118225,3.6811251640319824,0.3153398931026459,1.0
9,0.5792682766914368,3.418020486831665,0.2920002341270447,1.0,0.37837839126586914,3.8051576614379883,0.31995806097984314,1.0
10,0.5365853905677795,3.465369701385498,0.28960350155830383,1.0,0.4324324429035187,3.7059240341186523,0.3118804097175598,1.0
11,0.5701219439506531,3.3871002197265625,0.27723756432533264,1.0,0.4864864945411682,3.623535633087158,0.3085247874259949,1.0
12,0.5701219439506531,3.3807835578918457,0.27670949697494507,1.0,0.4864864945411682,3.453284978866577,0.28987282514572144,1.0
13,0.6189024448394775,3.364938974380493,0.2728498876094818,1.0,0.5135135054588318,3.557326078414917,0.2953333258628845,1.0
14,0.5792682766914368,3.3466796875,0.2701679766178131,1.0,0.4324324429035187,3.635568141937256,0.3073749244213104,1.0
15,0.6554877758026123,3.2712440490722656,0.25789791345596313,1.0,0.5135135054588318,3.6593520641326904,0.29809466004371643,1.0
16,0.6341463327407837,3.2924325466156006,0.255940705537796,1.0,0.4054054021835327,3.783644437789917,0.32039231061935425,1.0
17,0.6554877758026123,3.205397367477417,0.24631758034229279,1.0,0.5675675868988037,3.495004653930664,0.28182926774024963,1.0
18,0.6737805008888245,3.201894998550415,0.24182066321372986,1.0,0.4864864945411682,3.456589937210083,0.2762572169303894,1.0
19,0.6737805008888245,3.187300205230713,0.235651433467865,1.0,0.4324324429035187,3.9764366149902344,0.3119840621948242,1.0
20,0.6737805008888245,3.2110414505004883,0.23706424236297607,1.0,0.4054054021835327,4.199566841125488,0.32611411809921265,1.0
21,0.6920731663703918,3.137761116027832,0.22489210963249207,1.0,0.4864864945411682,3.4816489219665527,0.2725437879562378,1.0
22,0.6890243887901306,3.144176483154297,0.22710518538951874,1.0,0.4324324429035187,3.8389780521392822,0.2998814880847931,1.0
23,0.7195122241973877,3.080181121826172,0.21397067606449127,1.0,0.4864864945411682,3.510810613632202,0.27573004364967346,1.0
24,0.707317054271698,3.0879383087158203,0.21789982914924622,1.0,0.5405405163764954,3.5149271488189697,0.2674762010574341,1.0
25,0.7256097793579102,3.06961989402771,0.20701220631599426,1.0,0.45945945382118225,3.8154563903808594,0.3020600378513336,1.0
26,0.7164633870124817,3.008695363998413,0.2044535130262375,1.0,0.4864864945411682,3.61453914642334,0.2812161445617676,1.0
27,0.6890243887901306,3.072366952896118,0.21074999868869781,1.0,0.2702702581882477,4.632767677307129,0.36378586292266846,1.0
28,0.707317054271698,3.05157732963562,0.21013352274894714,1.0,0.37837839126586914,4.030117034912109,0.3131211996078491,1.0
29,0.7256097793579102,2.9516704082489014,0.18970750272274017,1.0,0.45945945382118225,3.443711042404175,0.26047998666763306,1.0
30,0.7713414430618286,2.907122850418091,0.17820316553115845,1.0,0.4054054021835327,3.9179799556732178,0.2943079471588135,1.0
31,0.7865853905677795,2.888763904571533,0.1769227683544159,1.0,0.4864864945411682,3.7473642826080322,0.26882532238960266,1.0
32,0.7835366129875183,2.836585521697998,0.1644955426454544,1.0,0.5675675868988037,3.640050172805786,0.25922638177871704,1.0
33,0.8018292784690857,2.8141520023345947,0.15728561580181122,1.0,0.5405405163764954,3.7383017539978027,0.2535722851753235,1.0
34,0.8231707215309143,2.7990925312042236,0.14802543818950653,1.0,0.4864864945411682,3.888918876647949,0.27313509583473206,1.0
35,0.7865853905677795,2.837611198425293,0.15450501441955566,1.0,0.4324324429035187,4.127315044403076,0.2932644486427307,1.0
36,0.8048780560493469,2.8248531818389893,0.1587340086698532,1.0,0.6216216087341309,3.415651798248291,0.23409780859947205,1.0
37,0.8262194991111755,2.7455313205718994,0.1410745084285736,1.0,0.5405405163764954,3.7272818088531494,0.2642764151096344,1.0
38,0.8475610017776489,2.7076973915100098,0.131384938955307,1.0,0.4324324429035187,4.322986125946045,0.2920536994934082,1.0
39,0.8170731663703918,2.7707815170288086,0.14547064900398254,1.0,0.4054054021835327,4.551399230957031,0.3047875165939331,1.0
40,0.8414633870124817,2.697463274002075,0.126764714717865,1.0,0.5945945978164673,3.320890188217163,0.222975492477417,1.0
41,0.8506097793579102,2.706773042678833,0.1297983080148697,1.0,0.5405405163764954,3.3244760036468506,0.22754573822021484,1.0
42,0.8932926654815674,2.605804920196533,0.11074920743703842,1.0,0.5675675868988037,3.5042266845703125,0.23305504024028778,1.0
43,0.8719512224197388,2.6553738117218018,0.11975586414337158,1.0,0.45945945382118225,3.70585560798645,0.25484755635261536,1.0
44,0.8902438879013062,2.5715348720550537,0.10050375759601593,1.0,0.4864864945411682,3.733311891555786,0.2431878000497818,1.0
45,0.875,2.617983341217041,0.10795743018388748,1.0,0.5405405163764954,4.059553623199463,0.27018243074417114,1.0
46,0.8932926654815674,2.5976736545562744,0.10686425119638443,1.0,0.5675675868988037,3.407391309738159,0.22162798047065735,1.0
47,0.8841463327407837,2.6039183139801025,0.09777680039405823,1.0,0.6756756901741028,3.247663736343384,0.19846756756305695,1.0
48,0.8932926654815674,2.572627305984497,0.09932272881269455,1.0,0.5675675868988037,3.860236167907715,0.24257215857505798,1.0
49,0.9146341681480408,2.5099565982818604,0.08458767086267471,1.0,0.5675675868988037,3.4600038528442383,0.21840745210647583,1.0
50,0.9268292784690857,2.47739577293396,0.07606135308742523,1.0,0.5945945978164673,3.3659517765045166,0.2085009068250656,1.0
51,0.9298780560493469,2.4888851642608643,0.07800289988517761,1.0,0.5675675868988037,3.6574108600616455,0.22724801301956177,1.0
52,0.9451219439506531,2.440596580505371,0.06826266646385193,1.0,0.5135135054588318,4.111307144165039,0.2562567889690399,1.0
53,0.9451219439506531,2.4369747638702393,0.06613872945308685,1.0,0.5405405163764954,3.8044772148132324,0.23691067099571228,1.0
54,0.9024389982223511,2.5334348678588867,0.08317726105451584,1.0,0.6486486196517944,3.314561605453491,0.204171285033226,1.0
55,0.9420731663703918,2.422375202178955,0.06508853286504745,1.0,0.5135135054588318,3.6000423431396484,0.22552013397216797,1.0
56,0.9390243887901306,2.413506031036377,0.060149386525154114,1.0,0.4864864945411682,4.2212910652160645,0.2578158974647522,1.0
57,0.9512194991111755,2.4101450443267822,0.05907769873738289,1.0,0.6486486196517944,3.5257256031036377,0.21176908910274506,1.0
58,0.9695122241973877,2.362786054611206,0.04974016919732094,1.0,0.7027027010917664,3.289501667022705,0.17711834609508514,1.0
59,0.9359756112098694,2.4020068645477295,0.05965375900268555,1.0,0.6486486196517944,3.4568839073181152,0.19587893784046173,1.0
60,0.9451219439506531,2.3851726055145264,0.056147970259189606,1.0,0.6486486196517944,3.5925168991088867,0.19517478346824646,1.0
61,0.9542682766914368,2.3673617839813232,0.04949793592095375,1.0,0.6486486196517944,3.372800827026367,0.18410125374794006,1.0
62,0.9420731663703918,2.4016783237457275,0.059872910380363464,1.0,0.5135135054588318,4.204960346221924,0.2512652277946472,1.0
63,0.9420731663703918,2.3908987045288086,0.05571787431836128,1.0,0.5405405163764954,3.8507797718048096,0.2300332486629486,1.0
64,0.9725610017776489,2.3452062606811523,0.041777804493904114,1.0,0.5675675868988037,3.743079423904419,0.22098958492279053,1.0
