epoch,accuracy,loss,top-5-accuracy,val_accuracy,val_loss,val_top-5-accuracy
0,0.27743902802467346,4.023429870605469,1.0,0.3513513505458832,4.086343288421631,1.0
1,0.3323170840740204,3.8001291751861572,1.0,0.5135135054588318,3.6683077812194824,1.0
2,0.396341472864151,3.6820790767669678,1.0,0.2432432472705841,3.82086181640625,1.0
3,0.43292683362960815,3.656160593032837,1.0,0.18918919563293457,3.931690216064453,1.0
4,0.44207316637039185,3.5603179931640625,1.0,0.4324324429035187,3.5801267623901367,1.0
5,0.48475611209869385,3.4784858226776123,1.0,0.5675675868988037,3.433776617050171,1.0
6,0.5,3.4093210697174072,1.0,0.5675675868988037,3.430182695388794,1.0
7,0.49695122241973877,3.371535539627075,1.0,0.5945945978164673,3.2627041339874268,1.0
8,0.5579268336296082,3.247265338897705,1.0,0.45945945382118225,3.2205557823181152,1.0
9,0.5335366129875183,3.2039575576782227,1.0,0.5135135054588318,3.1600840091705322,1.0
10,0.5365853905677795,3.190171718597412,1.0,0.5675675868988037,3.0633795261383057,1.0
11,0.5884146094322205,3.068819522857666,1.0,0.45945945382118225,3.6265921592712402,1.0
12,0.5548780560493469,3.086380958557129,1.0,0.5945945978164673,2.964912176132202,1.0
13,0.6067073345184326,2.9441022872924805,1.0,0.5135135054588318,3.1122798919677734,1.0
14,0.6219512224197388,2.8680667877197266,1.0,0.37837839126586914,3.166841983795166,1.0
15,0.6341463327407837,2.9088571071624756,1.0,0.4054054021835327,3.1522340774536133,1.0
16,0.6463414430618286,2.781743049621582,1.0,0.45945945382118225,2.9917235374450684,1.0
17,0.6920731663703918,2.6676948070526123,1.0,0.5675675868988037,2.7858057022094727,1.0
18,0.6310975551605225,2.704930067062378,1.0,0.5675675868988037,2.6560299396514893,1.0
19,0.6768292784690857,2.6424548625946045,1.0,0.5675675868988037,2.6514315605163574,1.0
20,0.6798780560493469,2.5169057846069336,1.0,0.6216216087341309,2.790376663208008,1.0
21,0.7134146094322205,2.418403148651123,1.0,0.6216216087341309,2.6154725551605225,1.0
22,0.6981707215309143,2.4588372707366943,1.0,0.6216216087341309,2.9108924865722656,1.0
