epoch,accuracy,loss,mean_absolute_error,top-5-accuracy,val_accuracy,val_loss,val_mean_absolute_error,val_top-5-accuracy
0,0.2621951103210449,4.023327350616455,0.371927410364151,1.0,0.3513513505458832,4.0700178146362305,0.3504246473312378,1.0
1,0.29878050088882446,3.795653820037842,0.36508649587631226,1.0,0.4054054021835327,3.698091983795166,0.3264707028865814,1.0
2,0.38109755516052246,3.645484685897827,0.3471173048019409,1.0,0.2702702581882477,3.644526720046997,0.3591752052307129,1.0
3,0.4359756112098694,3.5427398681640625,0.3327459394931793,1.0,0.4864864945411682,3.528345823287964,0.3367850184440613,1.0
4,0.4603658616542816,3.4421238899230957,0.32322415709495544,1.0,0.5135135054588318,3.4146904945373535,0.29775479435920715,1.0
5,0.5,3.365867853164673,0.31675416231155396,1.0,0.5135135054588318,3.178286075592041,0.3008827865123749,1.0
6,0.5121951103210449,3.281296968460083,0.31307587027549744,1.0,0.5675675868988037,3.164630651473999,0.2855164408683777,1.0
7,0.5670731663703918,3.1645097732543945,0.29053130745887756,1.0,0.6216216087341309,3.0575647354125977,0.28361964225769043,1.0
8,0.5457317233085632,3.1520609855651855,0.29265546798706055,1.0,0.5405405163764954,3.052666187286377,0.2976275682449341,1.0
9,0.5396341681480408,3.0312843322753906,0.28552350401878357,1.0,0.5945945978164673,2.9735023975372314,0.2831644117832184,1.0
10,0.5701219439506531,2.911658525466919,0.2774616777896881,1.0,0.5135135054588318,3.072397232055664,0.27953657507896423,1.0
11,0.6158536672592163,2.829481363296509,0.2609199285507202,1.0,0.6486486196517944,2.8219330310821533,0.2453727424144745,1.0
12,0.6097561120986938,2.713742971420288,0.24637944996356964,1.0,0.5405405163764954,2.8208675384521484,0.2653081715106964,1.0
13,0.6554877758026123,2.656318426132202,0.2512491047382355,1.0,0.45945945382118225,3.1384456157684326,0.2986842393875122,1.0
14,0.6524389982223511,2.539074420928955,0.22974854707717896,1.0,0.5675675868988037,2.8079540729522705,0.2665654718875885,1.0
15,0.5609756112098694,2.7237436771392822,0.2754170596599579,1.0,0.29729729890823364,3.0059359073638916,0.3646163046360016,1.0
16,0.48475611209869385,2.7632625102996826,0.3101968467235565,1.0,0.4324324429035187,2.8783960342407227,0.3415454626083374,1.0
17,0.5335366129875183,2.6604185104370117,0.30551978945732117,1.0,0.5675675868988037,2.569183826446533,0.28637978434562683,1.0
18,0.5365853905677795,2.5957388877868652,0.28854143619537354,1.0,0.4864864945411682,2.5850162506103516,0.28347665071487427,1.0
19,0.6219512224197388,2.3695318698883057,0.2542419731616974,1.0,0.5405405163764954,2.5019965171813965,0.2684085965156555,1.0
20,0.667682945728302,2.2917888164520264,0.22844672203063965,1.0,0.6756756901741028,2.3132545948028564,0.24417008459568024,1.0
21,0.6493902206420898,2.2409753799438477,0.23518885672092438,1.0,0.5675675868988037,2.3617348670959473,0.24282211065292358,1.0
22,0.6646341681480408,2.1226086616516113,0.22187256813049316,1.0,0.6756756901741028,2.220726251602173,0.22228102385997772,1.0
